guna_word;spanish_word;synonyms
Iggosorbarmayed;Dedal;
Iggodurba;Pixbae;
Iggosan;Pixbae;
Nalub;Pixbae;
Iggu;Pez Róbalo blanco;
Negabar;Centro;
Agligan;Manglar;
iggued;Faltar;Ausentarse, , , , 
Igi;Cómo;Qué, , , , 
Igli;Hormiga arriera;
Iglisaa;Estiércol de arriera;
Igsiduddu;Rosa;
Igsiwala;Cedro espino;
Igubwar;Arbol de sal;
Igubwala;Arbol de sal;
Baluwar;Arbol de sal;
Baluwala;Arbol de sal;
aglisug;Cangrejo de manglar;
Igwa;Almendra de monte;
Bugsu;Hermano de Ibeler;
Bugasui;Hermano de Ibeler;Es mismo Bugsu, , , , 
Igwawar;Almendor de monte;
Igwawala;Almendro de monite;
Ila;Palma jira;
Ilagwen;Una vez;De una vez, , , , 
Ile;Fila;Orden, hilera, , , 
Ileggwa;Fila;Orden, hilera, , , 
Aglisuga;Cangrejo manglar;
Ileanbaggued;Formar fila;
Ileanbaggued;Formarse en fila;Sentarse en orden, , , , 
Ilemagged;Organizar;ordenar, sistematizar, , , 
Ilesgagga;Lengua inglesa;
Ilesgaya;Lengua inglesa;
Ima;Qué asco;Qué repugnante, , , , 
Imagged;Hacer;Realizar, emprender, ejecutarmp3, , 
Saed;Hacer;Realizar, , , , 
Imbaba;En medio de;Entre, , , , 
Imbaggwa;A veces;De vez en cuando, , , , 
Sugagli;Cangrejo manglero;
Imbaggwagwa;A veces;De vez en cuando, , , , 
Immerba;Harto;Lleno, , , , 
Immerege;Harto;Lleno, , , , 
Immied;Trozar;Cortar, , , , 
Imued;Arar;Labrar, escarbar, remover, , 
Ina;Medicina;Planta medicinal, , , , 
Inaduled;Conocedor de plantas medicinales;
Inanii;Noviembre;
Inanusu;Brebaje;Veneno, pócima, , , 
Inasili;Raicilla;Planta, , , , 
Sugwedar;Cangrejo de manglar ;
Inaur;Cayuco para baños medicinales;
Inaulu;Cayuco para baños medicinales;
indagged;Dejar;Soltar, Separarse de, , , 
Ingua;Cuándo;
Sana;Cuándo;
Inna;Jugo de caña;
Innagaibid;Jugo fermentado de caña;
Gaibir;Jugo fermentado de caña;
Inna;Refresco de maíz;
Aglued;Torcer;inclinar, arquearse, , , 
Innaneg;Casa de ceremonias;Casa de chicha, , , , 
innanega;Casa de ceremonia;casa de chicha, , , , 
Gaibirneg;Casa de ceremonia;casa de chicha, , , , 
Gaibirnega;Casa de ceremonia;casa de chicha, , , , 
Innaosi;Jugo de maíz; Refresco o vino 
Innasuid;Ceremonia de corte de pelo;
Inniggigwa;recto ;andar correctamente 
Odiggigwa;Recto;rectilineo
Odidiggi;en hilera;en hilera 
Inniggigwad;Verdad;Es cierto, , , , 
Agneba;En algún lugar;Algún sitio, , , , 
Nabiri;Verdad;Es verdad, Es cierto, , , 
Nabbiragwad;Verdad;Es verdad, Es cierto, , , 
Inniggii;Recto;Línea recta, Imparcial, , , 
inniggi;Recto;Línea recta, , , , 
Insaed;Recordar;Acordarse, Conmemorar, , , 
Ebinsaed;Recordar;acordarse, Conmemorar, , , 
Inse;Primero;Adelante, , , , 
Inwa;Frijol;Alubia, Judía, Habicchuela, , 
Ingwa;Frijol;Alubia, Judía, Habichuela, , 
Ior;Hermana mayor;De mujer a mujer, , , , 
Agnied;Salir;Brotar, Germinar, Sugir, , , 
Iolo;Hermana mayor;
Irgwensur;Fácil;Cómodo, , , , 
irgwensuli;Fácil;Cómodo, , , , 
Isbe;Vidrio;Cristal, Espejo, , , 
Isbeua;Pez casabe;
Isbeurdale;Anteojos;Lentes, , , , 
Isdarad;Odioso;Aborrecido, Abominable, Detestable, , 
Isdardagged;Odiar;Repudiar, Aborrecer, , , 
Saedagged;Odiar;Repudiar, aborrecer, , , 
Ise;No permitido;No debe profanarse, , , , 
Agnired;Echarse a un lado;Quitarse, , , , 
Isgana;Malsano;Inservible, Maléfico, , , 
Isgar;Borriguero;Especie de iguana pequeña, , , , 
Isgin;Variedad de lagarto;
Isgued;Malearse;Corromperse, , , , 
Isgwir;Cucaracha;
Ismied;Estornudar;
Asmied;Estornudar;
Issaggwa;Malo;No creiible, , , , 
Issaggwagwa;Malo;Dañado, Insalubre, , , 
Sunnasuli;Malo;Dañado, Insalubre, , , 
Agsu;Cuñado;Referido por una mujer, , , , 
Issee;Poco;Escaso, Exiguo, Insuficiente, , 
Issegwa;Poco;Exiguo, Insuficiente, , , 
Issesur;Montón;
Issesuli;Montón;
Issoged;Dañar;Descomponer, , , , 
Isoged;Perjudicar;Estropear, , , , 
Madared;Ancho;Plano, , , , 
Madareged;Ancho;Plano, , , , 
Maddadumgued;Anchura;Extensión, Amplitud, , , 
Maddugwa;Bajo;
Negabala;Por la mitad;
Agu;Cebolla;
Madduggwa;Pequeño;
Maddumagged;Remendar;Zurcir, Componer un vestido, , , 
Maddusur;Alto;No bajo, , , , 
Maddusuli;Alto;No bajo, , , , 
Madu;Pan;
Madubisgi;Galleta;
Madubur;Harina;Almidón, , , , 
Madudibyaled;Hojaldre;Harina frita, , , , 
Maduina;Levadura;
Madumadu;Urticaria;Irritación, , , , 
Ai;Amigo;Compañero, Conocido, Aliado, , 
Madun;Plátano o guineo maduro;Crema de plátano, , , , 
Madunmadu;Pan hecho de plátano maduro;
Maduolo;Pan de máiz redondo;Tortilla de maíz, , , , 
Madusobed;Panadero;
Madusobedneg;Panadería;
Maduuggedneg;Panadería;
Maduneg;Panadería;
Maduwala;Pan de maíz alargado y asado;
Maed;Tomar alimento semisólido;Sopa, , , , 
Magad;Claro;Horizonte, Despejado, Mar abierto, , 
Aya;Amigo;Compañero, , , , 
Magabba;Ma afuera;Lejos de la costa, , , , 
Magaddiba;Mar afuera;Lejos de la costa, , , , 
Magaddabu;Pez Barracuda;
Dabu;Pez barracuda;
Magasdagged;Orinar;
